tahun,merk,tipe,tipe_truncated,jenis_mobil,is_convertible,is_coupe,is_fastback,is_hatchback,is_mpv,is_pickup,is_suv,is_sedan,is_truck,is_van,is_wagon,transmisi,km,lokasi,penjual,harga_asli,harga_imputed,imputation_source,harga
2013,Lexus,RX 270,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,85000.0,DKI Jakarta,Dealer,230000000.0,False,,230000000.0
2019,Toyota,Rush,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,42500.0,Jawa Barat,Sales Agent,,True,mean_by_jenis_mobil,466564618.0
2022,Suzuki,XL7,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,57500.0,DKI Jakarta,Dealer,189000000.0,False,,189000000.0
2017,Toyota,Rush,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,97500.0,Jawa Barat,Dealer,,True,mean_by_jenis_mobil,466564618.0
2025,Volvo,XC60 Recharge,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,2500.0,DKI Jakarta,Dealer,,True,mean_by_jenis_mobil,466564618.0
2024,Hyundai,Santa Fe,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,12500.0,DKI Jakarta,Dealer,685000000.0,False,,685000000.0
2019,Mercedes-Benz,C200,False,Sedan,0,0,0,0,0,0,0,1,0,0,0,Automatic,47500.0,DKI Jakarta,Dealer,,True,mean_by_jenis_mobil,471819265.0
2022,Mazda,CX-5,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,52500.0,Kalimantan Timur,Private,,True,mean_by_jenis_mobil,466564618.0
2020,Suzuki,Karimun Wagon R,False,Hatchback,0,0,0,1,0,0,0,0,0,0,0,Manual,82500.0,Banten,Sales Agent,,True,mean_by_jenis_mobil,201503268.0
2019,Chevrolet,TRAX,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,82500.0,DKI Jakarta,Dealer,,True,mean_by_jenis_mobil,466564618.0
2017,Honda,Mobilio,False,MPV,0,0,0,0,1,0,0,0,0,0,0,Automatic,132500.0,DKI Jakarta,Dealer,132000000.0,False,,132000000.0
2018,Mitsubishi,Outlander Sport,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,107500.0,DKI Jakarta,Dealer,160000000.0,False,,160000000.0
2023,Mitsubishi,Xpander,False,MPV,0,0,0,0,1,0,0,0,0,0,0,Automatic,47500.0,Jawa Timur,Dealer,248000000.0,False,,248000000.0
2013,Land Rover,Range Rover Evoque,False,,0,0,0,0,0,0,0,0,0,0,0,Automatic,67500.0,DKI Jakarta,Dealer,,False,,
2025,Toyota,Kijang Innova,False,MPV,0,0,0,0,1,0,0,0,0,0,0,Automatic,2500.0,DKI Jakarta,Dealer,,True,mean_by_jenis_mobil,284012562.0
2017,Honda,Civic,False,Sedan,0,0,0,0,0,0,0,1,0,0,0,Automatic,82500.0,DKI Jakarta,Dealer,,True,mean_by_jenis_mobil,471819265.0
2022,Honda,HR-V,False,SUV,0,0,0,0,0,0,1,0,0,0,0,Automatic,57500.0,Jawa Timur,Dealer,305000000.0,False,,305000000.0
2012,Toyota,Kijang Innova,False,MPV,0,0,0,0,1,0,0,0,0,0,0,Automatic,97500.0,Jawa Timur,Dealer,157000000.0,False,,157000000.0
2023,Toyota,Yaris Cross S HV (2 Tone) with GR Parts Ae,True,,0,0,0,0,0,0,0,0,0,0,0,Automatic,77500.0,Jawa Timur,Dealer,320000000.0,False,,320000000.0
2021,Toyota,Alphard,False,MPV,0,0,0,0,1,0,0,0,0,0,0,Automatic,67500.0,Jawa Timur,Dealer,,True,mean_by_jenis_mobil,284012562.0
