"listing__rating-model","item","item 2","item 3","item 4","ellipsize","listing__excerpt","listing__price"
"","","","","","","",""
"","","","","","","",""
"Lexus RX 270","85000 KM","Automatic","DKI Jakarta","Dealer","2013 Lexus RX 270 2.7 SUV - RX270 Ultimate Atpm 2014 nik h...","Kondisi istimewa Fresh original seperti baru Tangan pertama dari baru Nama peorangan ...","Rp 230.000.000"
"Toyota Rush","40 - 45K KM","Automatic","Jawa Barat","Sales Agent","2019 Toyota Rush 1.5 TRD Sportivo SUV","Mobil Bekas Rasa Mobil Baru Harga SUDAH DIBAWAH PASARAN Unit Ready 2019 Toyota Rush GR ...",""
"Suzuki XL7","55 - 60K KM","Automatic","DKI Jakarta","Dealer","2022 Suzuki XL7 1.5 Beta SUV - Matic","Suzuki XL 7 2022 A/T Harga untuk kredit Rp.189.000.000,- .Plat B .Type Betha .Transmisi ...","Rp 189.000.000"
"Toyota Rush","95 - 100K KM","Automatic","Jawa Barat","Dealer","2017 Toyota Rush 1.5 TRD Sportivo SUV - UNIT ISTIMEWA, PER...","Bisa Cash/ Bisa Kredit OTR Kredit 157 JT OTR Cash 162 JT Harga, DP dan simulasi kredit ...",""
"","0 - 5K KM","Automatic","DKI Jakarta","Dealer","2025 Volvo XC60 2.0 Recharge PHEV SUV","VOLVO XC60 T8 AWD RECHARGE FACELIFT NIK 2025 FOREST LAKE GREEN ON LIGHT BEIGE KM 3.000 ...",""
"Hyundai Santa Fe","10 - 15K KM","Automatic","DKI Jakarta","Dealer","2024 Hyundai Santa Fe 2.5 Calligraphy SUV - Low KM","2024 Hyundai Santa Fe 2.5 GDi Calligraphy Hybrid - LOW KM ""Hyundai Promise merupakan ...","Rp 685.000.000"
"Mercedes-Benz C200","45 - 50K KM","Automatic","DKI Jakarta","Dealer","2019 Mercedes-Benz C200 2.0 Avantgarde Line Sedan - TDP 50...","MERCEDES BENZ C200 FINAL EDITION 2019 SIAP PAKAI GOOD CONDITION OTR KREDIT 388JT TDP 50JT ...",""
"Mazda CX-5","50 - 55K KM","Automatic","Kalimantan Timur","Private","2022 Mazda CX-5 2.5 Kuro Edition SUV","servis rutin dealer resmi, terawat, tangan pertama, include PPF dan dashcam ori",""
"Suzuki Karimun Wagon R","80 - 85K KM","Manual","Banten","Sales Agent","2020 Suzuki Karimun Wagon R 1.0 GS Hatchback","2020 Suzuki KARIMUN GS 1.0 83.649 km | Manual - Service Record - Transmisi Halus - Surat2 ...",""
"Chevrolet TRAX","80 - 85K KM","Automatic","DKI Jakarta","Dealer","2019 Chevrolet TRAX 1.4 Premier SUV","Terima JualBeli TukerTambah Chev.Trax 1.4 Turbo Premier NIK Tahun 2019 Warna Coklat Plat ...",""
"Honda Mobilio","130 - 135K KM","Automatic","DKI Jakarta","Dealer","2017 Honda Mobilio 1.5 RS MPV - AT mobilbekas murah berkua...","Honda Mobilio RS 2017 A/T Harga untuk kredit Rp.132.000.000,- .Plat B .Type RS (paling ...","Rp 132.000.000"
